Tire ID,Condition,Subcondition,B,C,D,E,error,mux_max,sr_opt,BrakingStiffnessDry,BrakingStiffnessWet,MuxWetDry,SRWetDry
23-084-DB,FZ40,ND,4.236573263612217,2.7885299000288954,0.9709914877604692,1.061867910173352,0.148627746882934,1.156429793840568,9.614731392907254,0.1202768695851099,0.1943978999715057,5.486500368765364,41.52309324923471
23-084-DB,FZ40,NW,5.0,3.021182139816453,0.962917222683812,1.1219526842721117,0.1773121880411158,1.0929822689369928,5.622397510966932,0.1202768695851099,0.1943978999715057,5.486500368765364,41.52309324923471
23-084-DB,FZ80,ND,5.0,2.888062583635785,0.9854370054436244,1.0857490127373843,0.2460670630545633,1.1570851751177331,7.34086805367849,0.1576223910655799,0.1824916930253081,7.687897631943155,20.267854068700945
23-084-DB,FZ80,NW,5.0,3.187477307222814,0.968894281165644,1.1465942565030276,0.1874726386418669,1.0681296513402918,5.853031629183046,0.1576223910655799,0.1824916930253081,7.687897631943155,20.267854068700945
23-084-DB,FZ120,ND,5.0,3.088888771246211,0.9064880957743268,1.1331570667614623,0.1741660938306998,1.0285814274996812,6.446811691950162,0.1595488555659262,0.1880867780513876,1.6045585701384362,16.533845517044195
23-084-DB,FZ120,NW,5.0,3.4036041651461133,0.951399309113132,1.1771747470194267,0.3498874482284569,1.0120772360538828,5.380905806028379,0.1595488555659262,0.1880867780513876,1.6045585701384362,16.533845517044195
23-084-DB,FZ40,ND,4.236577369571732,2.788530988469098,0.9709896524660604,1.0618715125128095,0.1486277468819885,1.156427603450462,9.614731392907254,0.1202766417690621,0.194398030223758,5.486258023781963,41.52309324923471
23-084-DB,FZ40,NW,5.0,3.02118950420403,0.9629178454384356,1.1219554491907893,0.1773121880376489,1.0929830012669317,5.622397510966932,0.1202766417690621,0.194398030223758,5.486258023781963,41.52309324923471
23-084-DB,FZ80,ND,5.0,2.888096467389461,0.9854260242525502,1.0857607645480891,0.2460670630081216,1.1570722481610862,7.34086805367849,0.157620630108081,0.182492902954791,7.68625426861681,20.267854068700945
23-084-DB,FZ80,NW,5.0,3.187453837383537,0.9689006538361994,1.1465867046525149,0.1874726386298499,1.0681367330958242,5.853031629183046,0.157620630108081,0.182492902954791,7.68625426861681,20.267854068700945
23-084-DB,FZ120,ND,5.0,3.0889252636676123,0.90648119698225,1.1331708765656363,0.1741660937904724,1.0285734802490745,6.446811691950162,0.1595476228246913,0.1880864183833013,1.6039864775913053,16.533845517044195
23-084-DB,FZ120,NW,5.0,3.4036253900309257,0.9513975666205966,1.177176553981115,0.3498874482178925,1.012075300713789,5.380905806028379,0.1595476228246913,0.1880864183833013,1.6039864775913053,16.533845517044195
23-084-DB,FZ40,ND,4.236617140019178,2.7884928123163557,0.9709891746391496,1.061837928909938,0.1486277469802653,1.156427070426391,9.614731392907254,0.1202765863307925,0.1943978290933802,5.486312247170252,41.52309324923471
23-084-DB,FZ40,NW,5.0,3.021185070225794,0.9629168628243516,1.1219539151460038,0.1773121880383071,1.0929818704319958,5.622397510966932,0.1202765863307925,0.1943978290933802,5.486312247170252,41.52309324923471
23-084-DB,FZ80,ND,5.0,2.8880914023287736,0.9854263090126538,1.0857599811147502,0.2460670630089983,1.1570725878563048,7.34086805367849,0.157620676382611,0.1824927509173823,7.686358278093426,20.267854068700945
23-084-DB,FZ80,NW,5.0,3.187457045361779,0.9688998550550774,1.1465858313988029,0.1874726386250274,1.068135843216062,5.853031629183046,0.157620676382611,0.1824927509173823,7.686358278093426,20.267854068700945
23-084-DB,FZ120,ND,5.0,3.088931618208717,0.9064802424259484,1.1331720296672465,0.1741660937906413,1.0285723748025335,6.446811691950162,0.1595474513528702,0.188086989011561,1.603582207328444,16.533845517044195
23-084-DB,FZ120,NW,5.0,3.40359877838762,0.9514003574161446,1.1771736467479248,0.3498874482337101,1.0120783712107049,5.380905806028379,0.1595474513528702,0.188086989011561,1.603582207328444,16.533845517044195
23-084-DB,FZ40,ND,4.236568249287928,2.7888410374058923,0.970949533305338,1.0620193964452378,0.1486277506799241,1.1563804722763416,9.505206021414438,0.12165759160518064,0.19439709389260135,5.482861130521007,40.84928303184446
23-084-DB,FZ40,NW,5.0,3.0211960348883795,0.9629131902764708,1.1219602479809054,0.17731218804523968,1.0929777368409668,5.622397510966932,0.12165759160518064,0.19439709389260135,5.482861130521007,40.84928303184446
23-084-DB,FZ80,ND,5.0,2.8880957574132795,0.985424310564986,1.0857617517958686,0.2460670630099807,1.1570702371529848,7.34086805367849,0.15762035616117362,0.18249249211231905,7.686301650103286,20.267854068700945
23-084-DB,FZ80,NW,5.0,3.187437921099217,0.9688984357460638,1.1465844986007407,0.18747263866786887,1.068134328421841,5.853031629183046,0.15762035616117362,0.18249249211231905,7.686301650103286,20.267854068700945
23-084-DB,FZ120,ND,5.0,3.0889119023886784,0.9064838260644872,1.133163547444203,0.1741660937983168,1.028576504372724,6.446811691950162,0.1595480919129467,0.1880867326821797,1.6041113496304933,16.533845517044195
23-084-DB,FZ120,NW,5.0,3.40361761375679,0.9513991291631583,1.1771750698505736,0.34988744821914414,1.0120769919264485,5.380905806028379,0.1595480919129467,0.1880867326821797,1.6041113496304933,16.533845517044195
